,address1,address2,city,name,tel,url,zip,geometry
51,4720A Bell Blvd,,Bayside,Portara Gallery,(718) 224-7093,http://newyork.citysearch.com/profile/map/12036088/bayside_ny/portara_gallery.html,11361.0,POINT (-73.76753263900895 40.75653978324558)
52,139 Spring St,,New York,Portico Fine Art,(212) 941-8248,http://www.porticony.com/,10012.0,POINT (-74.00082665591241 40.72425932151783)
53,5100 Kings Plz,,Brooklyn,Portrait Gallery,(718) 377-8762,http://brooklyn.ny.povo.com/Portrait_Gallery_%28Kings_Highway%29,11234.0,POINT (-73.92228135415756 40.60993574125617)
54,459 W 19th St,,New York,Postmasters Gallery,(212) 727-3323,http://www.postmastersart.com/,10011.0,POINT (-74.00534660392837 40.74520243426394)
55,25 E 73rd St,Fl 4,New York,Praxis International Art,(212) 772-9478,http://galleries.absolutearts.com/galleries/praxis-art/index.html,10021.0,POINT (-73.96513542144585 40.77277684295719)
56,127 Fulton St,,New York,Prieto International Attorney In Fact Johnpoll,(212) 267-6790,http://m.nyc.com/arts__attractions/prieto_international_attorney_in_fact_johnpoll.793/whats_nearby.aspx?sec=pha,10038.0,POINT (-74.00723565260127 40.71024984423636)
57,530 W 25th St,,New York,Prince Street Gallery,(646) 230-0246,http://www.princestreetgallery.com/contact.html,10001.0,POINT (-74.00469480010908 40.74933789747345)
58,141 W 20th St,,New York,Professional Fine Arts Svces Inc,(646) 336-6613,http://www.nyc.com/arts__attractions/professional_fine_arts_svces_inc.724/editorial_review.aspx,10011.0,POINT (-73.99573169554829 40.74191723417448)
59,162 11th Ave,,New York,Proposition the,(212) 242-0035,http://www.theproposition.com/,10011.0,POINT (-74.00714842024912 40.74820539748208)
60,1 E. 53d St.,,New York,Public Art Fund,(212) 980-4575,http://www.publicartfund.org/,10022.0,POINT (-73.97518753856254 40.76037548407393)
61,121 E 106th St,,New York,Puerto Rican Work Shop Inc,(212) 534-7534,http://www.nyc.com/arts__attractions/puerto_rican_work_shop_inc.1733/whats_nearby.aspx,10029.0,POINT (-73.94672759344712 40.7926998453047)
62,154 W 57th St,,New York,Pushman Gallery Inc,(212) 582-0130,http://local.botw.org/New_York/New_York/Pushman_Gallery_Inc/10887507.html,10019.0,POINT (-73.979913078835 40.76499908899108)
63,573 Metropolitan Ave,,Brooklyn,Pytlak Art Studio,(718) 599-1265,http://www.anitapytlak.net/uk/index.html,11211.0,POINT (-73.94988527250548 40.71427612774082)
64,481 Washington St,,New York,Queen Art Publishers Inc,(212) 274-0237,http://www.lights.ca/publisher/db/9/3739.html,10013.0,POINT (-74.00979549289632 40.72549195065175)
65,903 Park Ave,Apt 3A,New York,Questroyal Fine Art,(212) 744-3586,http://www.questroyalfineart.com/,10021.0,POINT (-73.96001773937685 40.77572380172859)
66,249 E 61st St,,New York,Rabenou Yris Ancient Arts,(212) 486-0661,http://www.antiquecollectiblestore.com/detail/48742/rabenou-yris-ancient-arts.html,10021.0,POINT (-73.96383620358236 40.76222397768942)
67,601 W 26th St,,New York,Radio House Gallery,(212) 620-7630,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489D6139-3048-28EB-92ED919F6F1756B9,10001.0,POINT (-74.00698522749778 40.75178267196637)
68,241 E 59th St,,New York,Rafael Gallery,(212) 744-8666,http://www.getfave.com/locations/888896-rafael-gallery,10022.0,POINT (-73.96484847311721 40.76106891398838)
69,15 E 82nd St,,New York,Rainbow Fine Art Inc,(212) 585-2587,http://local.botw.org/New_York/New_York/Rainbow_Fine_Art_Inc/11030300.html,10028.0,POINT (-73.96108478026073 40.77866480998064)
70,724 5th Ave,,New York,Ralph Chait Galleries Inc,(212) 397-2818,http://www.rmchait.com/,10019.0,POINT (-73.97472467424907 40.76269798806097)
71,49 East 78th Street,1B,New York,Randel Gallery Inc,(212) 861-6650,http://www.antiquesandfineart.com/dealers/about.cfm?id=427&ap=1,10021.0,POINT (-73.96194182288089 40.77557044121497)
72,234 5th Ave,,New York,Randolph & Tate Assocs,(212) 595-6302,http://directory.northjersey.com/randolph+tate+assocs.9.7658139p.home.html,10001.0,POINT (-73.98804680373928 40.74435684322828)
73,70 WASHINGTON ST,,Brooklyn,Raphael Fodde Editions,(718) 624-6048,http://www.yelp.com/biz/raphael-fodde-editions-brooklyn,11201.0,POINT (-73.98997735599107 40.70208740023595)
74,521 W 26th St Bsmt,,New York,Rare art Gallery,(212) 268-1520,http://www.rare-gallery.com/,10001.0,POINT (-74.00368999417438 40.75021572567968)
75,1091 Madison Ave,,New York,Raydon Gallery,(212) 288-3555,http://www.rateitall.com/i-410005-raydon-gallery.aspx,10001.0,POINT (-73.96032667632238 40.77833720539059)
76,140 W 22nd St,,New York,Red Dot,(212) 675-0448,http://www.rateitall.com/i-410007-red-dot.aspx,10011.0,POINT (-73.99505920460594 40.74274457506512)
77,24 W 57th St,,New York,Reece Galleries Inc The,(212) 333-5830,http://www.reecegalleries.com/,10019.0,POINT (-73.97570995606252 40.7633560679256)
78,535 W 24th St,,New York,Reeves Contemporary Inc,(212) 714-0044,http://www.cynthia-reeves.com/,10011.0,POINT (-74.00518820857934 40.74928257893011)
79,1921 Benson Ave,,Brooklyn,Regina's Art Center,(718) 837-5807,http://www.reginasartcenter.com/contact.html,11214.0,POINT (-74.00172859190214 40.60337998426083)
80,5 E 57th St,Fl 8,New York,Rehs Galleries Inc,(212) 355-5710,http://www.rehs.com/,10022.0,POINT (-73.973110440921 40.76297400449145)
81,1100 Madison Ave,Ph,New York,Reinhold Brown Gallery,(212) 734-7999,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489D6945-3048-28EB-92C3310EAAC2B0DD,10028.0,POINT (-73.96068894272547 40.77864024499883)
82,300 W 147th St,,New York,Renaissance Gallery,(212) 234-0974,http://www.livevillage.com/newyork/art/renaissance-gallery.html,10039.0,POINT (-73.94134747495355 40.82412358361577)
83,133 E 58th St,Ste 1001,New York,Resnick Ira Inc,(212) 223-1009,http://www.nyc.com/search/find.aspx?secid=2&name=Resnick%20Ira%20Inc,10022.0,POINT (-73.96881061087802 40.76189452972676)
84,529 W 20th St,,New York,Ricco Maresca Gallery,(212) 627-4819,http://www.riccomaresca.com,10011.0,POINT (-74.00684653459641 40.74661224727327)
85,1018 Madison Ave,,New York,Richard Gray Gallery,(212) 472-8787,http://www.richardgraygallery.com/default.asp,10021.0,POINT (-73.96268744300946 40.77603511659483)
86,305 E 50th St,,New York,Richard Solomon,(212) 223-9545,http://www.richardsolomon.com/,10022.0,POINT (-73.96796822375437 40.75490203267615)
87,21 E. 65th St.,2nd. Fl.,New York,Richard York Gallery,(212) 772-9155,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489D6E92-3048-28EB-924791189BBB08A3,10065.0,POINT (-73.96884242026259 40.76764185257714)
88,20 E 69th St,,New York,Rienzo Gallery,(212) 288-2226,http://www.artnet.com/Galleries/About.asp?G=&gid=166017&which=&rta=http://www.artnet.com,10021.0,POINT (-73.9671517745906 40.76983080069589)
89,35 E 10th St,,New York,Ritter-Antik Inc,(212) 673-2213,http://www.ritterantik.com/index.php,10003.0,POINT (-73.99270194219845 40.73250427241042)
90,174 Rivington St,,New York,Rivington Bar & Art Gallery,(212) 253-7703,http://www.nyc.com/arts__attractions/rivington_bar__art_gallery.1676/whats_nearby.aspx,10002.0,POINT (-73.98443865749057 40.71908747964383)
91,400 W Broadway,,New York,Robert Lee Morris Inc,(212) 431-9405,http://www.robertleemorris.com/contactus.php,10012.0,POINT (-74.00236650608144 40.72440708813242)
92,210 11th Ave,,New York,Robert Mann Gallery,(212) 989-7600,http://www.robertmann.com/,10001.0,POINT (-74.00591124427345 40.74974338435857)
93,526 W 26th St,,New York,Robert Miller Gallery Inc,(212) 366-4774,http://www.robertmillergallery.com/index2.html,10001.0,POINT (-74.00423398601862 40.74998085501487)
94,511 W 25th St,,New York,Robert Steele Gallery,(212) 243-0165,http://www.robertsteelegallery.com/,10001.0,POINT (-74.00398547780941 40.74942345786739)
95,36 W 22nd St,Apt 4,New York,Robertson African Arts,(212) 206-0912,http://wap.outalot.com/listings/314463-Robertson-African-Arts,10010.0,POINT (-73.99212377125507 40.7415083515344)
96,300 East 74th Street,,New York,Rogallerycom,(212) 732-6887,http://www.auction-directory.info/auction/rogallerycom-300-east-74th-street-new-york-ny-212-732-6887/1283,10021.0,POINT (-73.95726808829765 40.76970749577403)
97,31 Mercer St,,New York,Ronald Feldman Fine Arts,(212) 226-3232,http://www.feldmangallery.com/pages/home_frame.html,10013.0,POINT (-74.00185591328102 40.7211603892599)
98,527 Main St,,New York,Roosevelt Island Visual Arts Assoc,(212) 308-6630,http://rivaa.com/,10044.0,POINT (-73.95643509706022 40.7535986702466)
99,525 W 24th St,,New York,Rosen Andrea Gallery Inc,(212) 627-6000,http://www.andrearosengallery.com/,10011.0,POINT (-74.00493762277485 40.74904372260324)
100,115 Wooster St,,New York,Rosenberg & Kaufman Fine Art,(212) 431-4838,http://www.robertkuszek.com/,10012.0,POINT (-74.00070940720575 40.72502497030408)
101,20 E 79th St,,New York,Rosenberg Paul & Co,(212) 472-1134,http://local.botw.org/New_York/New_York/Rosenberg_Paul_and_Co/11505286.html,10021.0,POINT (-73.96251598937279 40.77623795678713)
102,511 West 25 Street,,New York,Ross Luise Gallery,(212) 343-2161,http://www.luiserossgallery.com/,10001.0,POINT (-74.00391752109321 40.74945791536082)
103,160A E 70th St,,New York,Roth,(212) 717-9067,http://www.andrewroth.com/,10021.0,POINT (-73.9625371631743 40.76883963218358)
104,33 Clinton St,,Brooklyn,Rotunda Gallery,(718) 875-4047,http://www.nyc-arts.org/organizations/1668/rotunda-gallery,11201.0,POINT (-73.99146799382999 40.69515733841206)
105,1158 Lexington Ave,,New York,Royal Fine Art,(212) 452-4297,http://m.nyc.com/arts__attractions/royal_fine_art.361/map_location.aspx,10021.0,POINT (-73.95868741367525 40.77550888584743)
106,153 E 57th St,Ph,New York,Royal-Athena Galleries,(212) 355-2033,http://www.royalathena.com/,10022.0,POINT (-73.96804936659153 40.76078611070076)
107,6 Parrott Pl,,Brooklyn,Rudolph De Paola Art Gallery,(718) 238-6026,http://www.merchantcircle.com/business/Rudolph.de.Paola.Art.Gallery.718-238-6026,11228.0,POINT (-74.02172406852321 40.6179934963939)
108,134 Spring St,Fl 2,New York,Ruesch Jeffrey Fine Arts,(212) 925-1137,http://www.rateitall.com/i-410032-ruesch-jeffrey-fine-arts.aspx,10012.0,POINT (-74.00107130886676 40.72382475175759)
109,478 W Broadway,,New York,Russeck Gallery,(212) 475-9939,http://local.botw.org/New_York/New_York/Russeck_Gallery/11582297.html,10012.0,POINT (-74.00056532211813 40.72679315564427)
110,18 W 55th St,,New York,Russian World,(212) 399-6500,http://www.nyc.com/arts__attractions/russian_world.1710/map_location.aspx,10019.0,POINT (-73.97604749164573 40.7619257405724)
111,1248 Lexington Ave,,New York,S & A Art Gallery Inc,(212) 794-5251,http://www.masterseek.com/id/48817904/S-and-A-Art-Gallery.htm,10028.0,POINT (-73.95658934527663 40.77844643345689)
112,155 Ave of the Americas,,New York,S 2 Editions Ltd,(212) 206-7345,http://www.nyc.com/arts__attractions/s_2_editions_ltd.958/editorial_review.aspx,10013.0,POINT (-74.00479226201507 40.72529481116742)
113,232 E 59th St,,New York,S E Art & Design Inc,(212) 980-1914,http://www.seartanddesign.com/contactus.html,10022.0,POINT (-73.96523800836928 40.76074545206315)
114,58 E 79th St,,New York,Sabarsky Serge Gallery,(212) 628-6281,http://local.botw.org/New_York/New_York/Sabarsky_Serge_Gallery/11637783.html,10021.0,POINT (-73.96160396766 40.77589272888765)
115,10 Waterside Plz,,New York,Sabbatique Ltd,(212) 213-9344,http://www.sabbatiqueltd.com/contact.htm,10010.0,POINT (-73.97398003703451 40.73684451842)
116,10022 32nd Ave,,East Elmhurst,Sabrina Enterprise.Com Artworks Sales and Rprdctns,(718) 335-5088,http://www.nyc.com/arts__attractions/sabrina_enterprisecom_artworks_sales_and_rprdctns.1874/editorial_review.aspx,11369.0,POINT (-73.86790725213015 40.75905863804786)
117,229 East 60th Street,,New York,Sacks Fine Art,(212) 333-7755,http://sacksfineart.com/,10022.0,POINT (-73.96475380699054 40.76182788882621)
118,980 Madison Ave,,New York,Safani Gallery Inc,(212) 570-6360,http://local.botw.org/New_York/New_York/Safani_Gallery_Inc/56446980.html,10021.0,POINT (-73.96369840924123 40.77483293527021)
119,700 Park Ave,,New York,Salz Trager Janet,(212) 744-6080,http://metroproper.com/business/profile/view/&id=59220,10021.0,POINT (-73.96550966274957 40.76954041095984)
120,979 Lexington Ave,,New York,Sam's Souk,(212) 535-7210,http://www.manta.com/coms2/dnbcompany_8m39fn,10021.0,POINT (-73.96253150655406 40.76945600789786)
121,30 E 85th St,,New York,Sanada Ikkanart Intl,(212) 734-3055,http://local.botw.org/New_York/New_York/Sanada_Ikkanart_Intl/154034137.html,10028.0,POINT (-73.9597778376811 40.78007651787356)
122,30 E 76th St,,New York,Sands & Company Inc Fine Art At Madison Av,(212) 988-3900,http://www.nyc.com/arts__attractions/sands__company_inc_fine_art_at_madison_av.848/editorial_review.aspx,10021.0,POINT (-73.96342194003462 40.77413780465837)
123,588 Broadway,#612,New York,Sara Meltzer On View,(212) 343-8256,http://www.sarameltzergallery.com/artist.php?artist=tallichet&p=cv,10012.0,POINT (-73.99709362546815 40.72470086058279)
124,411 Myrtle Ave,,Brooklyn,Sarafina Inc,(718) 522-1083,http://m.nyc.com/arts__attractions/sarafina_inc.739/whats_nearby.aspx?sec=att,11205.0,POINT (-73.96937268391871 40.69329478591217)
125,130 Greene St,,New York,Sarajo Inc,(212) 966-6156,http://www.yelp.com/biz/sarajo-inc-new-york,10012.0,POINT (-73.99880177429456 40.72527106908656)
126,535 W 23rd St,,New York,Sarina Tang Fine Art,(212) 242-9001,http://web2.userinstinct.com/30817016-sarina-tang-fine-art.htm,10011.0,POINT (-74.00525477577852 40.74841075541706)
127,240 E 13th St,,New York,Savacou Galleries,(212) 473-6904,http://www.artchain.com/cgi-bin/showorganization.cgi?org=150,10003.0,POINT (-73.98626836015879 40.73178217523588)
128,155 E 72nd St,,New York,Sayn-Wittgenstein,(212) 288-1493,http://www.sw-fineart.com/,10021.0,POINT (-73.96141027379505 40.77036690857002)
129,210 11th Ave,,New York,Schellmann Editions,(212) 219-1821,http://www.editionschellmann.com/,10001.0,POINT (-74.00585461846735 40.74982694160013)
130,100 Water St,,Brooklyn,Schickler Howard Fine Art,(212) 431-6363,http://www.schicklerart.com/,11201.0,POINT (-73.98992301910791 40.70287471566356)
131,520 E 72nd St,,New York,Schillay Fine Art,(212) 861-8353,http://www.schillay.com/contact.html,10021.0,POINT (-73.95267537512437 40.76613926035685)
132,120 E 65th St,,New York,Schiller & Bodo Fine Art,(212) 772-8627,http://www.schillerandbodo.com/,10021.0,POINT (-73.96628742693697 40.76612066503104)
133,24 E 73rd St,,New York,Schlesinger Gallery,(212) 734-3600,http://newyork.maplist.org/viewthread.php?tid=442872,10021.0,POINT (-73.96547437151817 40.77245891705941)
134,63 E 66th St,,New York,Scholten Japanese Art,(212) 585-0474,http://www.artinfo.com/galleryguide/19648/6194/scholten-japanese-art-new-york/inventory/,10021.0,POINT (-73.96707156094901 40.7677175399878)
135,349 E 49th St,Apt 6B,New York,Schonfeld R D & Co Inc,(212) 755-7005,http://www.nyc.com/arts__attractions/schonfeld_r_d__co_inc.288/whats_nearby.aspx,10017.0,POINT (-73.9669851798845 40.75363538057697)
136,44-19 Purves St,,Long Island City,Sculpture Center,(718) 361-1750,http://www.sculpture-center.org/,11101.0,POINT (-73.94081426624797 40.74692132746502)
137,526 W 29th St,,New York,Sean Kelly Inc,(212) 239-1181,http://www.skny.com/,10001.0,POINT (-74.00306879167971 40.75188382019684)
138,210 11th Ave,,New York,Sears-Peyton Gallery,(212) 966-7469,http://www.searspeyton.com/html/home.asp,10001.0,POINT (-74.0057991263059 40.74991739032808)
139,572 Flatbush Ave,,Brooklyn,Seaside Summer Concert Series Inc,(718) 469-1912,http://www.nyc.com/arts__attractions/seaside_summer_concert_series_inc.1588/editorial_review.aspx,11225.0,POINT (-73.96089003981638 40.65968268185264)
140,980 2nd Ave,,New York,Second Ave Art Expo,(212) 223-9095,http://www.merchantcircle.com/business/Second.Ave.Art.Expo.212-223-9095,10022.0,POINT (-73.96741088497615 40.7558314157737)
141,1601 York Ave,,New York,Seibold Eleanor,(212) 988-4731,http://www.nyc.com/arts__attractions/seibold_eleanor.1833/map_location.aspx,10028.0,POINT (-73.94807967210905 40.77506696449551)
142,21 E 26th St,,New York,Senior & Shopmaker,(212) 213-6767,http://www.seniorandshopmaker.com/,10010.0,POINT (-73.98681734650098 40.74327330486988)
143,148 W 24th St,Fl 11,New York,Sepia International Inc the,(212) 645-9444,http://www.sepia.org/,10011.0,POINT (-73.99450269931272 40.74425012968437)
144,342 E 77th St,,New York,Serbin Inna,(212) 249-5252,http://www.nyc.com/arts__attractions/serbin_inna.1675/whats_nearby.aspx,10021.0,POINT (-73.95440566613355 40.77111186559225)
145,9 E 82ND ST,STE 3A,New York,Serger Helen La Boetie,(212) 535-4865,http://boundlessgallery.com/directory/gallery/618/Helen-Serger-LA-Boetie,10028.0,POINT (-73.96122592165297 40.77875554623769)
146,555 5th Ave,,New York,Seven Colors,(212) 681-9091,http://www.livevillage.com/newyork/art/seven-colors.html,10017.0,POINT (-73.97882343724704 40.75567804406099)
147,47 Flatbush Ave,,Brooklyn,Shades of Art,(718) 834-0084,http://www.merchantcircle.com/business/Shades.of.Art.718-834-0084,11217.0,POINT (-73.97949383741295 40.68753305466083)
148,513 W 20th St,,New York,Shainman Jack Gallery,(212) 645-1701,http://www.jackshainman.com/,10011.0,POINT (-74.00626340256299 40.7463655471036)
149,152 E 65th St,,New York,Shapolsky Anita Gallery,(212) 452-1094,http://www.anitashapolskygallery.com/,10021.0,POINT (-73.96455976643841 40.7653957451292)
150,34 W 22nd St,,New York,Shawn Dulaney Studio,(212) 255-7986,http://www.shawndulaney.com/,10010.0,POINT (-73.992055668654 40.74147186911685)
151,58 E 79th St,,New York,Shepherd & Derom Galleries,(212) 861-4050,http://www.shepherdgallery.com/feature.html,10021.0,POINT (-73.96166653283252 40.77579398709301)
152,220 E 72nd St,,New York,Shickman H Gallery,(212) 249-3800,http://whrrl.com/place/1220422/shickman-h-gallery-new-york,10021.0,POINT (-73.95972631317878 40.76901768334879)
